id_candidato,edad,genero,nivel_educativo,titulo,experiencia_anios,habilidades,idiomas,puesto_deseado,localidad,disponibilidad_horaria,trabajo_actual,sector_experiencia,ultima_actualizacion,pretension_salarial
1002,21,Masculino,Terciario,Arquitectura,12,Project Management,Frances - Basico,Recepcionista,salta,Part-Time,No,Salud,2024-08-18,486759
1003,29,Masculino,Universitario,Arquitectura,23,Diseno UX/UI,Ingles - Basico,Docente,rosario,Full-Time,No,Salud,2025-03-17,688022
1004,19,Femenino,Universitario,Marketing,10,Atencion al cliente,Portugues - Basico,Docente,neuquen,Part-Time,No,Legal,2025-01-08,484370
1005,44,Masculino,Universitario,Recursos Humanos,21,Atencion al cliente,Portugues - Intermedio,Disenador grafico,salta,Part-Time,No,Contabilidad,2024-07-20,613020
1006,48,Masculino,Terciario,Marketing,14,Ventas,Portugues - Basico,Disenador grafico,cordoba,Full-Time,No,Legal,2025-03-14,535444
1007,53,Masculino,Universitario,Diseno Grafico,9,Comunicacion,Portugues - Intermedio,Asistente administrativo,cordoba,Remoto,No,Diseno,2024-05-23,435150
1008,53,Femenino,Universitario,Contador Publico,8,Diseno UX/UI,Portugues - Basico,Enfermero/a,rosario,Full-Time,No,Educacion,2024-08-10,464968
1009,43,Otro,Secundario,Psicologia,8,Comunicacion,Sin idiomas,Asistente administrativo,salta,Remoto,No,Tecnologia,2025-01-25,461224
1010,44,Masculino,Universitario,Recursos Humanos,19,Ventas,Portugues - Intermedio,Analista de datos,cordoba,Part-Time,No,Contabilidad,2024-07-12,616570
1011,22,Otro,Universitario,Administracion,0,Excel,Portugues - Basico,Tecnico en sistemas,san juan,Part-Time,No,Comercio,2025-01-01,304856
1012,37,Masculino,Universitario,Psicologia,16,Project Management,Frances - Basico,Asistente administrativo,neuquen,Part-Time,No,Comercio,2024-06-02,576191
1013,28,Otro,Terciario,Ingenieria,11,Ingles,Ingles - Intermedio,Analista de datos,tucuman,Remoto,No,Diseno,2025-03-19,460041
1014,27,Femenino,Terciario,Ingenieria,9,Ingles,Portugues - Basico,Vendedor,salta,Full-Time,No,Comercio,2024-10-17,472835
1015,57,Femenino,Posgrado,Ingenieria,4,Comunicacion,Ingles - Intermedio,Analista de datos,rosario,Remoto,Si,Diseno,2024-11-05,415561
1016,55,Masculino,Terciario,Ingenieria,17,Ventas,Ingles - Intermedio,Analista de datos,salta,Part-Time,No,Educacion,2025-05-12,626292
1017,23,Otro,Universitario,Contador Publico,14,Redaccion,Ingles - Basico,Disenador grafico,mendoza,Part-Time,Si,Educacion,2024-12-01,584889
1018,25,Femenino,Terciario,Psicologia,5,Project Management,Sin idiomas,Contador/a,mendoza,Full-Time,No,Salud,2024-06-13,390408
1019,40,Masculino,Universitario,Medicina,6,Comunicacion,Frances - Basico,Abogado/a,cordoba,Remoto,No,Tecnologia,2025-03-11,451468
1020,43,Masculino,Terciario,Abogacia,16,Redaccion,Ingles - Intermedio,Disenador grafico,mendoza,Part-Time,No,Salud,2024-08-03,548203
1021,29,Femenino,Universitario,Recursos Humanos,5,Project Management,Ingles - Avanzado,Disenador grafico,rosario,Remoto,Si,Educacion,2025-01-13,416018
1022,43,Femenino,Terciario,Administracion,7,Redaccion,Sin idiomas,Contador/a,cordoba,Remoto,Si,Legal,2024-11-03,414157
1023,30,Masculino,Secundario,Diseno Grafico,11,Atencion al cliente,Ingles - Intermedio,Contador/a,rosario,Full-Time,No,Salud,2024-09-18,487993
1024,57,Otro,Terciario,Arquitectura,20,Comunicacion,Portugues - Basico,Abogado/a,neuquen,Full-Time,No,Contabilidad,2024-08-23,662989
1025,35,Otro,Secundario,Ingenieria,13,Ventas,Ingles - Intermedio,Tecnico en sistemas,rosario,Part-Time,No,Educacion,2024-06-26,518959
1026,42,Otro,Posgrado,Administracion,11,Project Management,Portugues - Basico,Vendedor,mendoza,Full-Time,No,Educacion,2025-04-06,552658
1027,50,Masculino,Posgrado,Arquitectura,22,Ingles,Portugues - Basico,Asistente administrativo,neuquen,Remoto,Si,Legal,2024-06-02,717691
1028,57,Femenino,Terciario,Abogacia,9,Comunicacion,Ingles - Avanzado,Analista de datos,mendoza,Full-Time,Si,Legal,2025-02-24,471537
1029,29,Masculino,Universitario,Administracion,21,Project Management,Ingles - Intermedio,Asistente administrativo,rosario,Remoto,No,Legal,2024-09-23,620822
1030,53,Femenino,Terciario,Psicologia,19,Project Management,Ingles - Intermedio,Docente,mendoza,Part-Time,Si,Tecnologia,2024-11-17,656029
1031,21,Otro,Universitario,Administracion,14,Redaccion,Portugues - Intermedio,Recepcionista,mendoza,Remoto,Si,Contabilidad,2024-12-18,604132
1032,22,Otro,Universitario,Ingenieria,6,Redaccion,Sin idiomas,Tecnico en sistemas,mendoza,Full-Time,No,Educacion,2024-11-20,422984
1033,54,Femenino,Posgrado,Abogacia,8,Diseno UX/UI,Portugues - Intermedio,Recepcionista,salta,Full-Time,No,Legal,2024-05-19,468880
1034,25,Femenino,Terciario,Diseno Grafico,9,Comunicacion,Ingles - Basico,Analista de datos,neuquen,Part-Time,No,Tecnologia,2025-01-01,473372
1035,59,Masculino,Universitario,Medicina,9,Python,Portugues - Basico,Contador/a,neuquen,Full-Time,Si,Comercio,2025-03-05,491524
1036,45,Otro,Terciario,Marketing,15,SQL,Ingles - Avanzado,Analista de datos,san juan,Part-Time,No,Contabilidad,2024-10-22,538942
1037,48,Masculino,Posgrado,Ingenieria,6,Python,Portugues - Intermedio,Vendedor,neuquen,Part-Time,Si,Diseno,2024-12-28,412500
1038,26,Masculino,Secundario,Arquitectura,4,Project Management,Ingles - Intermedio,Asistente administrativo,san juan,Full-Time,No,Diseno,2024-11-26,369171
1039,46,Masculino,Universitario,Abogacia,22,Diseno UX/UI,Ingles - Basico,Abogado/a,rosario,Remoto,No,Comercio,2024-11-05,686543
1040,31,Otro,Universitario,Psicologia,2,Project Management,Ingles - Avanzado,Enfermero/a,san juan,Part-Time,Si,Comercio,2024-08-08,391774
1041,57,Masculino,Universitario,Contador Publico,17,Python,Frances - Basico,Enfermero/a,san juan,Remoto,Si,Educacion,2025-02-13,605478
1042,58,Masculino,Secundario,Abogacia,10,Project Management,Ingles - Intermedio,Abogado/a,tucuman,Full-Time,Si,Tecnologia,2025-03-02,441867
1043,39,Masculino,Posgrado,Arquitectura,14,Redaccion,Ingles - Intermedio,Contador/a,rosario,Remoto,Si,Tecnologia,2024-12-20,599820
1044,28,Masculino,Secundario,Marketing,20,Comunicacion,Frances - Basico,Enfermero/a,neuquen,Remoto,Si,Comercio,2024-07-12,601975
1045,40,Masculino,Universitario,Marketing,19,Ingles,Portugues - Basico,Contador/a,cordoba,Remoto,Si,Contabilidad,2024-12-30,611053
1046,18,Masculino,Terciario,Recursos Humanos,4,Python,Portugues - Basico,Disenador grafico,mendoza,Remoto,No,Salud,2024-06-09,374581
1047,54,Otro,Terciario,Medicina,23,SQL,Portugues - Intermedio,Vendedor,mendoza,Full-Time,Si,Comercio,2024-08-27,612621
1048,38,Masculino,Universitario,Arquitectura,11,SQL,Portugues - Intermedio,Tecnico en sistemas,tucuman,Full-Time,Si,Educacion,2024-10-15,499533
1049,43,Femenino,Terciario,Marketing,3,Redaccion,Ingles - Intermedio,Asistente administrativo,cordoba,Remoto,No,Comercio,2024-12-28,385653
1050,53,Masculino,Secundario,Recursos Humanos,14,Comunicacion,Sin idiomas,Asistente administrativo,salta,Full-Time,Si,Contabilidad,2024-10-30,520193
1051,40,Masculino,Secundario,Recursos Humanos,8,Excel,Ingles - Intermedio,Tecnico en sistemas,san juan,Full-Time,Si,Contabilidad,2024-08-28,465619
1052,18,Otro,Terciario,Recursos Humanos,6,Excel,Portugues - Intermedio,Analista de datos,rosario,Part-Time,No,Comercio,2025-02-22,402111
1053,57,Otro,Universitario,Abogacia,9,Ventas,Frances - Basico,Analista de datos,salta,Full-Time,No,Tecnologia,2025-02-12,489619
1054,32,Femenino,Posgrado,Recursos Humanos,22,Ventas,Portugues - Intermedio,Recepcionista,cordoba,Remoto,No,Comercio,2024-06-01,713782
1055,38,Femenino,Secundario,Ingenieria,12,Python,Ingles - Intermedio,Analista de datos,tucuman,Full-Time,Si,Legal,2024-12-29,550285
1056,26,Otro,Terciario,Arquitectura,7,Redaccion,Ingles - Avanzado,Contador/a,cordoba,Full-Time,No,Legal,2024-05-13,429342
1057,26,Otro,Secundario,Ingenieria,11,Redaccion,Ingles - Intermedio,Abogado/a,tucuman,Full-Time,Si,Salud,2025-04-04,433675
1058,27,Masculino,Secundario,Contador Publico,21,Project Management,Ingles - Avanzado,Disenador grafico,salta,Full-Time,No,Educacion,2025-01-29,640437
1059,43,Otro,Universitario,Marketing,23,SQL,Ingles - Avanzado,Tecnico en sistemas,salta,Part-Time,Si,Educacion,2025-03-03,740971
1060,58,Femenino,Universitario,Medicina,18,SQL,Ingles - Intermedio,Contador/a,cordoba,Remoto,No,Diseno,2024-10-17,600324
1061,52,Masculino,Secundario,Recursos Humanos,0,SQL,Sin idiomas,Contador/a,cordoba,Remoto,No,Tecnologia,2025-01-14,325232
1062,42,Femenino,Terciario,Psicologia,15,Diseno UX/UI,Sin idiomas,Recepcionista,san juan,Full-Time,No,Educacion,2025-05-07,581861
1063,43,Masculino,Secundario,Psicologia,21,Comunicacion,Ingles - Basico,Contador/a,mendoza,Full-Time,Si,Salud,2024-11-12,645511
1064,28,Otro,Universitario,Marketing,16,Atencion al cliente,Portugues - Intermedio,Vendedor,tucuman,Part-Time,Si,Legal,2024-12-14,583766
1065,55,Femenino,Posgrado,Contador Publico,24,Project Management,Sin idiomas,Analista de datos,mendoza,Full-Time,No,Tecnologia,2024-12-18,699046
1066,19,Masculino,Secundario,Psicologia,17,Excel,Portugues - Basico,Asistente administrativo,rosario,Part-Time,No,Contabilidad,2024-05-13,552562
1067,24,Masculino,Terciario,Ingenieria,10,Redaccion,Ingles - Intermedio,Vendedor,rosario,Remoto,No,Legal,2024-06-23,483758
1068,35,Otro,Posgrado,Administracion,17,Excel,Ingles - Avanzado,Disenador grafico,cordoba,Remoto,No,Salud,2024-09-22,642246
1069,44,Otro,Posgrado,Abogacia,6,Diseno UX/UI,Ingles - Intermedio,Disenador grafico,salta,Part-Time,Si,Tecnologia,2025-03-08,460018
1070,51,Otro,Terciario,Diseno Grafico,17,Excel,Portugues - Intermedio,Disenador grafico,rosario,Remoto,No,Comercio,2024-12-09,563603
1071,44,Femenino,Secundario,Psicologia,7,SQL,Frances - Basico,Analista de datos,rosario,Full-Time,No,Educacion,2024-07-27,421661
1072,34,Masculino,Secundario,Medicina,5,Ingles,Sin idiomas,Contador/a,mendoza,Full-Time,Si,Salud,2025-03-05,400802
1073,41,Otro,Universitario,Recursos Humanos,6,Project Management,Sin idiomas,Disenador grafico,mendoza,Part-Time,Si,Tecnologia,2024-06-05,441388
1074,42,Femenino,Terciario,Medicina,22,Ingles,Sin idiomas,Tecnico en sistemas,san juan,Remoto,No,Legal,2024-12-10,624915
1075,24,Femenino,Secundario,Arquitectura,21,Ventas,Ingles - Avanzado,Asistente administrativo,san juan,Remoto,No,Tecnologia,2025-05-10,609558
1076,23,Femenino,Universitario,Abogacia,9,Ingles,Portugues - Basico,Contador/a,rosario,Part-Time,Si,Comercio,2024-11-15,503434
1077,41,Otro,Secundario,Ingenieria,10,Atencion al cliente,Portugues - Basico,Recepcionista,cordoba,Part-Time,Si,Salud,2024-12-06,408510
1078,50,Otro,Universitario,Contador Publico,24,Redaccion,Sin idiomas,Analista de datos,mendoza,Remoto,No,Tecnologia,2025-04-12,637205
1079,46,Masculino,Terciario,Abogacia,12,Diseno UX/UI,Portugues - Basico,Abogado/a,rosario,Part-Time,Si,Contabilidad,2024-07-28,545242
1080,39,Masculino,Secundario,Diseno Grafico,8,Redaccion,Frances - Basico,Vendedor,salta,Full-Time,Si,Salud,2024-10-29,435342
1081,43,Otro,Universitario,Administracion,6,Atencion al cliente,Sin idiomas,Docente,mendoza,Remoto,No,Salud,2024-10-11,448201
1082,45,Femenino,Terciario,Psicologia,8,Redaccion,Ingles - Basico,Vendedor,rosario,Part-Time,No,Legal,2024-12-09,407696
1083,38,Femenino,Posgrado,Contador Publico,12,Ingles,Ingles - Avanzado,Disenador grafico,san juan,Part-Time,Si,Diseno,2024-06-03,562125
1084,24,Femenino,Universitario,Contador Publico,2,Comunicacion,Frances - Basico,Asistente administrativo,tucuman,Part-Time,No,Educacion,2024-07-25,378257
1085,34,Masculino,Terciario,Psicologia,2,Redaccion,Ingles - Avanzado,Recepcionista,mendoza,Remoto,No,Diseno,2024-08-14,302471
1086,37,Femenino,Universitario,Psicologia,0,Ventas,Sin idiomas,Contador/a,tucuman,Full-Time,No,Contabilidad,2025-02-19,382728
1087,58,Masculino,Terciario,Psicologia,20,Project Management,Frances - Basico,Tecnico en sistemas,mendoza,Full-Time,No,Comercio,2024-05-28,624760
1088,37,Masculino,Posgrado,Psicologia,19,Project Management,Sin idiomas,Enfermero/a,mendoza,Remoto,No,Tecnologia,2025-03-23,633118
1089,39,Femenino,Terciario,Psicologia,1,Excel,Frances - Basico,Vendedor,san juan,Part-Time,Si,Diseno,2024-07-01,323661
1090,45,Femenino,Universitario,Contador Publico,24,Python,Sin idiomas,Enfermero/a,neuquen,Remoto,Si,Educacion,2024-08-16,639544
1091,57,Otro,Secundario,Marketing,2,Ingles,Ingles - Basico,Contador/a,neuquen,Remoto,No,Legal,2025-05-08,347800
1092,24,Otro,Terciario,Marketing,14,SQL,Ingles - Avanzado,Asistente administrativo,tucuman,Part-Time,No,Educacion,2024-12-31,537855
1093,18,Femenino,Universitario,Medicina,23,Atencion al cliente,Frances - Basico,Enfermero/a,cordoba,Remoto,No,Salud,2025-03-08,679178
1094,49,Masculino,Universitario,Marketing,5,Diseno UX/UI,Ingles - Basico,Vendedor,rosario,Full-Time,Si,Salud,2024-06-25,453354
1095,30,Masculino,Terciario,Diseno Grafico,12,Ingles,Ingles - Intermedio,Abogado/a,cordoba,Remoto,Si,Comercio,2024-08-31,458485
1096,47,Masculino,Terciario,Marketing,20,Project Management,Sin idiomas,Docente,cordoba,Part-Time,Si,Contabilidad,2024-09-20,602097
1097,40,Masculino,Universitario,Contador Publico,0,Excel,Portugues - Intermedio,Enfermero/a,neuquen,Remoto,Si,Tecnologia,2024-12-29,314500
1098,36,Masculino,Posgrado,Psicologia,19,Redaccion,Frances - Basico,Abogado/a,rosario,Full-Time,No,Tecnologia,2024-10-04,636637
1099,49,Otro,Secundario,Recursos Humanos,18,SQL,Portugues - Basico,Abogado/a,neuquen,Remoto,No,Legal,2025-03-26,572024
1100,47,Femenino,Terciario,Recursos Humanos,0,SQL,Ingles - Basico,Disenador grafico,neuquen,Remoto,Si,Comercio,2025-02-23,332900
1101,46,Otro,Terciario,Diseno Grafico,20,Python,Ingles - Basico,Docente,san juan,Remoto,Si,Tecnologia,2024-07-12,609591
1102,46,Masculino,Posgrado,Arquitectura,21,Comunicacion,Frances - Basico,Tecnico en sistemas,neuquen,Remoto,No,Contabilidad,2024-07-21,648680
1103,47,Masculino,Secundario,Contador Publico,1,Python,Ingles - Basico,Vendedor,salta,Part-Time,No,Salud,2024-06-19,365580
1104,33,Masculino,Terciario,Ingenieria,14,Redaccion,Ingles - Intermedio,Recepcionista,cordoba,Full-Time,No,Comercio,2025-03-27,602349
1105,57,Masculino,Universitario,Abogacia,13,Ingles,Ingles - Basico,Contador/a,san juan,Full-Time,No,Educacion,2024-05-28,539298
1106,36,Femenino,Secundario,Medicina,18,Ventas,Portugues - Intermedio,Recepcionista,san juan,Full-Time,No,Diseno,2024-10-26,547297
1107,35,Masculino,Terciario,Ingenieria,10,Atencion al cliente,Portugues - Intermedio,Enfermero/a,cordoba,Remoto,Si,Diseno,2025-03-30,514263
1108,18,Femenino,Terciario,Contador Publico,14,SQL,Sin idiomas,Docente,san juan,Full-Time,No,Comercio,2025-04-10,486598
1109,31,Masculino,Terciario,Marketing,5,Diseno UX/UI,Sin idiomas,Enfermero/a,cordoba,Part-Time,Si,Comercio,2024-12-20,384957
1110,19,Femenino,Terciario,Psicologia,19,Ingles,Portugues - Basico,Docente,salta,Remoto,Si,Contabilidad,2025-04-17,584117
1111,45,Otro,Universitario,Ingenieria,8,Diseno UX/UI,Ingles - Intermedio,Vendedor,mendoza,Remoto,No,Contabilidad,2025-01-11,425214
1112,47,Masculino,Secundario,Abogacia,4,Excel,Portugues - Intermedio,Contador/a,san juan,Full-Time,Si,Tecnologia,2024-12-01,351600
1113,55,Femenino,Universitario,Arquitectura,19,Diseno UX/UI,Frances - Basico,Contador/a,tucuman,Remoto,Si,Diseno,2024-05-13,599075
1114,21,Otro,Universitario,Recursos Humanos,1,SQL,Ingles - Avanzado,Vendedor,tucuman,Remoto,No,Legal,2024-12-12,355379
1115,18,Masculino,Universitario,Arquitectura,5,SQL,Ingles - Avanzado,Tecnico en sistemas,salta,Full-Time,Si,Legal,2024-07-09,415815
1116,25,Masculino,Secundario,Abogacia,17,SQL,Ingles - Avanzado,Abogado/a,cordoba,Part-Time,No,Contabilidad,2024-08-04,536361
1117,46,Masculino,Secundario,Psicologia,22,Ingles,Sin idiomas,Docente,tucuman,Part-Time,No,Tecnologia,2025-01-14,618885
1118,56,Femenino,Terciario,Marketing,18,Ingles,Frances - Basico,Analista de datos,salta,Full-Time,Si,Tecnologia,2025-02-27,583075
1119,20,Femenino,Terciario,Abogacia,8,Atencion al cliente,Ingles - Basico,Analista de datos,neuquen,Part-Time,No,Tecnologia,2024-07-04,464295
1120,49,Otro,Terciario,Medicina,20,Project Management,Frances - Basico,Abogado/a,rosario,Part-Time,No,Contabilidad,2024-11-06,615548
1121,27,Femenino,Universitario,Abogacia,23,Comunicacion,Ingles - Basico,Enfermero/a,tucuman,Part-Time,Si,Legal,2025-02-02,709741
1122,27,Femenino,Secundario,Contador Publico,5,Redaccion,Ingles - Avanzado,Docente,rosario,Remoto,No,Tecnologia,2024-05-26,392574
1123,36,Masculino,Secundario,Marketing,13,Redaccion,Portugues - Basico,Asistente administrativo,cordoba,Remoto,Si,Contabilidad,2024-08-12,512145
1124,51,Masculino,Terciario,Psicologia,23,Excel,Portugues - Basico,Contador/a,tucuman,Remoto,Si,Educacion,2025-03-22,706635
1125,50,Masculino,Universitario,Recursos Humanos,12,Python,Ingles - Basico,Recepcionista,salta,Part-Time,No,Educacion,2025-02-01,486419
1126,40,Masculino,Secundario,Recursos Humanos,10,Atencion al cliente,Ingles - Avanzado,Asistente administrativo,mendoza,Remoto,Si,Salud,2024-06-14,435805
1127,45,Masculino,Universitario,Abogacia,11,Project Management,Frances - Basico,Recepcionista,tucuman,Part-Time,No,Educacion,2025-04-27,557898
1128,49,Masculino,Terciario,Contador Publico,18,Ventas,Portugues - Basico,Contador/a,tucuman,Full-Time,Si,Comercio,2024-12-08,582281
1129,24,Masculino,Posgrado,Ingenieria,18,Excel,Ingles - Basico,Analista de datos,tucuman,Part-Time,No,Salud,2025-01-09,545547
1130,46,Otro,Posgrado,Arquitectura,20,Ingles,Frances - Basico,Vendedor,tucuman,Remoto,No,Educacion,2024-06-14,653911
1131,25,Otro,Terciario,Arquitectura,18,Project Management,Ingles - Avanzado,Tecnico en sistemas,salta,Part-Time,Si,Comercio,2025-03-07,594048
1132,18,Otro,Terciario,Arquitectura,23,SQL,Ingles - Intermedio,Disenador grafico,salta,Remoto,Si,Educacion,2024-08-17,586487
1133,20,Otro,Terciario,Ingenieria,12,Ingles,Ingles - Avanzado,Enfermero/a,mendoza,Remoto,No,Contabilidad,2024-06-01,540018
1134,41,Masculino,Terciario,Contador Publico,13,Python,Sin idiomas,Abogado/a,salta,Full-Time,No,Diseno,2024-12-16,493589
1135,40,Otro,Universitario,Arquitectura,23,Python,Ingles - Avanzado,Analista de datos,salta,Full-Time,Si,Comercio,2024-05-22,694856
1136,25,Masculino,Universitario,Medicina,17,Redaccion,Frances - Basico,Vendedor,cordoba,Remoto,No,Tecnologia,2024-09-14,588221
1137,54,Otro,Universitario,Ingenieria,11,Comunicacion,Frances - Basico,Vendedor,san juan,Part-Time,No,Contabilidad,2025-01-27,466350
1138,20,Femenino,Universitario,Ingenieria,3,Comunicacion,Portugues - Intermedio,Recepcionista,cordoba,Full-Time,Si,Diseno,2024-09-07,352885
1139,50,Otro,Terciario,Psicologia,9,Ventas,Portugues - Intermedio,Vendedor,san juan,Full-Time,Si,Comercio,2024-12-12,426948
1140,45,Otro,Secundario,Psicologia,16,Ingles,Frances - Basico,Docente,rosario,Remoto,No,Contabilidad,2024-09-13,572570
1141,25,Masculino,Universitario,Marketing,3,Ingles,Frances - Basico,Enfermero/a,mendoza,Part-Time,Si,Tecnologia,2024-06-24,380574
1142,51,Otro,Terciario,Medicina,11,Python,Ingles - Intermedio,Disenador grafico,san juan,Full-Time,Si,Comercio,2024-06-25,469345
1143,52,Femenino,Universitario,Medicina,12,SQL,Ingles - Intermedio,Analista de datos,cordoba,Full-Time,No,Comercio,2024-11-03,491962
1144,49,Masculino,Terciario,Marketing,3,SQL,Ingles - Avanzado,Docente,mendoza,Part-Time,Si,Diseno,2025-05-13,400884
1145,41,Masculino,Secundario,Medicina,9,Diseno UX/UI,Sin idiomas,Analista de datos,mendoza,Full-Time,Si,Contabilidad,2025-03-04,478926
1146,31,Otro,Posgrado,Diseno Grafico,24,SQL,Portugues - Basico,Tecnico en sistemas,tucuman,Part-Time,No,Educacion,2024-11-21,755542
1147,49,Masculino,Secundario,Administracion,2,Project Management,Sin idiomas,Disenador grafico,neuquen,Remoto,Si,Comercio,2024-11-22,344773
1148,33,Masculino,Posgrado,Arquitectura,14,Comunicacion,Ingles - Intermedio,Vendedor,neuquen,Full-Time,No,Educacion,2024-10-18,578694
1149,21,Masculino,Posgrado,Psicologia,1,SQL,Ingles - Avanzado,Tecnico en sistemas,neuquen,Remoto,Si,Comercio,2024-09-22,338522
1150,54,Masculino,Universitario,Marketing,24,Atencion al cliente,Sin idiomas,Recepcionista,mendoza,Part-Time,Si,Legal,2025-01-09,692626
1151,38,Masculino,Universitario,Marketing,24,Ingles,Ingles - Basico,Tecnico en sistemas,tucuman,Remoto,No,Salud,2025-01-21,679485
1152,31,Masculino,Universitario,Medicina,16,SQL,Portugues - Intermedio,Asistente administrativo,rosario,Remoto,Si,Educacion,2025-02-20,525235
1153,48,Femenino,Posgrado,Ingenieria,5,Diseno UX/UI,Sin idiomas,Recepcionista,rosario,Remoto,Si,Educacion,2025-02-15,466711
1154,35,Otro,Terciario,Recursos Humanos,7,Ventas,Portugues - Basico,Disenador grafico,neuquen,Part-Time,Si,Diseno,2024-12-16,404126
1155,24,Femenino,Terciario,Abogacia,2,Ventas,Ingles - Avanzado,Enfermero/a,rosario,Part-Time,Si,Tecnologia,2025-05-04,385878
1156,27,Masculino,Universitario,Abogacia,24,Python,Sin idiomas,Asistente administrativo,tucuman,Part-Time,Si,Legal,2025-03-21,726452
1157,24,Masculino,Terciario,Marketing,17,SQL,Frances - Basico,Analista de datos,neuquen,Part-Time,Si,Tecnologia,2024-11-01,591701
1158,50,Otro,Terciario,Arquitectura,21,Ingles,Ingles - Basico,Abogado/a,san juan,Part-Time,No,Legal,2024-10-20,653386
1159,40,Femenino,Terciario,Diseno Grafico,0,Ingles,Portugues - Intermedio,Abogado/a,san juan,Full-Time,Si,Legal,2024-07-06,301541
1160,38,Otro,Universitario,Arquitectura,15,Comunicacion,Ingles - Basico,Asistente administrativo,tucuman,Full-Time,Si,Contabilidad,2025-02-18,620735
1161,36,Femenino,Posgrado,Marketing,6,Ventas,Ingles - Avanzado,Enfermero/a,rosario,Full-Time,No,Contabilidad,2024-09-14,451293
1162,36,Masculino,Terciario,Arquitectura,2,Python,Ingles - Intermedio,Docente,neuquen,Remoto,No,Contabilidad,2025-02-11,359057
1163,53,Otro,Posgrado,Psicologia,22,SQL,Portugues - Intermedio,Abogado/a,san juan,Remoto,No,Comercio,2024-06-27,670528
1164,46,Otro,Universitario,Arquitectura,3,Ventas,Ingles - Basico,Asistente administrativo,tucuman,Part-Time,Si,Diseno,2024-10-12,357066
1165,35,Masculino,Universitario,Medicina,8,Ventas,Ingles - Intermedio,Disenador grafico,salta,Part-Time,No,Tecnologia,2024-10-22,474318
1166,19,Otro,Universitario,Medicina,4,Ingles,Portugues - Basico,Contador/a,san juan,Full-Time,No,Salud,2024-09-03,406525
1167,18,Femenino,Universitario,Diseno Grafico,18,SQL,Ingles - Avanzado,Enfermero/a,salta,Part-Time,Si,Legal,2025-03-06,586320
1168,22,Femenino,Secundario,Psicologia,14,Excel,Ingles - Avanzado,Enfermero/a,tucuman,Remoto,No,Legal,2024-10-26,466848
1169,37,Femenino,Universitario,Recursos Humanos,7,SQL,Portugues - Intermedio,Docente,tucuman,Part-Time,Si,Diseno,2025-02-18,406903
1170,28,Femenino,Secundario,Ingenieria,5,Project Management,Ingles - Basico,Recepcionista,cordoba,Full-Time,Si,Educacion,2025-02-15,410884
1171,59,Masculino,Posgrado,Psicologia,17,Ventas,Portugues - Basico,Vendedor,san juan,Part-Time,Si,Comercio,2024-12-18,596603
1172,19,Otro,Posgrado,Contador Publico,18,Comunicacion,Frances - Basico,Abogado/a,cordoba,Remoto,Si,Salud,2025-02-08,619833
1173,20,Femenino,Terciario,Administracion,23,Excel,Portugues - Intermedio,Vendedor,mendoza,Full-Time,Si,Contabilidad,2024-08-22,708510
1174,40,Masculino,Terciario,Marketing,14,Diseno UX/UI,Frances - Basico,Vendedor,san juan,Part-Time,No,Legal,2024-10-14,496336
1175,29,Otro,Universitario,Contador Publico,6,Python,Portugues - Intermedio,Disenador grafico,neuquen,Remoto,Si,Educacion,2024-09-20,408191
1176,37,Otro,Terciario,Diseno Grafico,9,SQL,Ingles - Basico,Analista de datos,mendoza,Full-Time,No,Tecnologia,2024-11-08,431937
1177,22,Masculino,Posgrado,Contador Publico,5,Comunicacion,Portugues - Basico,Vendedor,mendoza,Full-Time,Si,Legal,2025-01-14,483542
1178,54,Masculino,Secundario,Medicina,13,Diseno UX/UI,Ingles - Basico,Enfermero/a,rosario,Remoto,No,Educacion,2024-10-18,554801
1179,55,Femenino,Secundario,Arquitectura,16,Diseno UX/UI,Ingles - Avanzado,Docente,salta,Part-Time,Si,Tecnologia,2024-06-12,562546
1180,47,Otro,Posgrado,Ingenieria,8,Ventas,Frances - Basico,Docente,rosario,Part-Time,Si,Comercio,2024-12-05,503501
1181,26,Otro,Universitario,Abogacia,18,Project Management,Ingles - Intermedio,Contador/a,neuquen,Part-Time,Si,Contabilidad,2025-04-08,592590
1182,51,Masculino,Universitario,Marketing,4,Ventas,Sin idiomas,Analista de datos,tucuman,Full-Time,No,Diseno,2024-05-17,458419
1183,52,Otro,Terciario,Abogacia,22,Python,Ingles - Avanzado,Recepcionista,cordoba,Full-Time,No,Tecnologia,2024-09-18,658030
1184,39,Femenino,Universitario,Arquitectura,6,Excel,Ingles - Avanzado,Enfermero/a,neuquen,Part-Time,No,Legal,2024-06-23,455593
1185,41,Otro,Universitario,Medicina,18,Ingles,Frances - Basico,Enfermero/a,tucuman,Full-Time,Si,Salud,2024-11-08,606835
1186,34,Masculino,Universitario,Medicina,19,Atencion al cliente,Portugues - Intermedio,Contador/a,neuquen,Full-Time,Si,Tecnologia,2024-05-31,616960
1187,27,Masculino,Universitario,Arquitectura,6,Excel,Ingles - Avanzado,Tecnico en sistemas,tucuman,Remoto,No,Salud,2024-10-16,479891
1188,47,Femenino,Universitario,Marketing,23,Python,Sin idiomas,Contador/a,san juan,Part-Time,Si,Salud,2024-09-10,701191
1189,40,Femenino,Terciario,Abogacia,1,Ingles,Portugues - Basico,Vendedor,cordoba,Part-Time,No,Tecnologia,2024-07-09,378541
